X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
-118.708735855952,34.0874212268917,3213,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp David Gonzales,1301 N. Las Virgenes Rd.,,Calabasas,CA,"Monday through Friday, 8:00am to 5:00pm.",(818) 222-1192 (Primary),,,,,3340,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,91302,http://egis3.lacounty.gov/lms/?p=3340,publish,34.08742126,-118.7087358,2010/11/01 19:50:56+00,,6347077.68925481,1854951.20113523
-118.835264955094,34.0923696562699,3214,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Fred Miller,433 S. Encinal Canyon Rd.,,Malibu,CA,"Monday through Friday, 8:00am to 5:00pm.",(818) 889-0260 (Primary),,,,,3341,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,90265,http://egis3.lacounty.gov/lms/?p=3341,publish,34.09236969,-118.8352649,2010/11/01 19:50:56+00,,6308782.69957197,1857046.20186648
-117.797885857626,34.1335003473491,3215,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Glenn Rockey,1900 Sycamore Cyn. Rd.,,San Dimas,CA,"Monday through Friday, 8:00am to 5:00pm.",(909) 599-2391 (Primary),,,,,3342,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,91773,http://egis3.lacounty.gov/lms/?p=3342,publish,34.13350038,-117.7978858,2010/11/01 19:50:56+00,,6622833.67186247,1871025.21721548
-118.479357256507,34.6543349359928,3216,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp John Munz,42220 Lake Hughes Rd.,,Lake Hughes,CA,"Monday through Friday, 8:00am to 5:00pm.",(661) 724-1211 (Primary),,,,,3343,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93532,http://egis3.lacounty.gov/lms/?p=3343,publish,34.65433497,-118.4793572,2010/11/01 19:50:56+00,,6417512.68257089,2060850.18533382
-117.740040457894,34.1547682772015,3217,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Joseph Paige,6601 N. Stephens Ranch Rd.,,La Verne,CA,"Monday through Friday, 8:00am to 5:00pm.",(909) 593-4921 (Primary),,,,,3344,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,91750,http://egis3.lacounty.gov/lms/?p=3344,publish,34.15476831,-117.7400404,2010/11/01 19:50:56+00,,6640318.66477956,1878805.21641923
-118.487230556587,34.4574695057061,3218,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Joseph Scott And Camp Kenyon Scudder,28700 Bouquet Cyn. Rd.,,Saugus,CA,"Monday through Friday, 8:00am to 5:00pm.",661) 296-3231 (Camp Scott)<br>(661) 296-9668 (Camp Scudder),,,,,3345,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,91350,http://egis3.lacounty.gov/lms/?p=3345,publish,34.45746954,-118.4872305,2010/11/01 19:50:56+00,,6414797.6817673,1989218.19277132
-118.362222856337,34.3075350360172,3219,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Karl Holton,12653 Little Tujunga Canyon Rd.,,San Fernando,CA,"Monday through Friday, 8:00am to 5:00pm.",(818) 896-0571 (Primary),,,,,3346,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,91342,http://egis3.lacounty.gov/lms/?p=3346,publish,34.30753507,-118.3622228,2010/11/01 19:50:56+00,,6452283.66913113,1934495.20116764
-118.287702456424,34.2901210464685,3220,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Louis Routh,12500 Big Tujunga Cyn. Rd.,,Tujunga,CA,"Monday through Friday, 8:00am to 5:00pm.",(818) 352-4407 (Primary),,,,,3347,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,91042,http://egis3.lacounty.gov/lms/?p=3347,publish,34.29012108,-118.2877024,2010/11/01 19:50:56+00,,6474769.66943464,1928085.20119239
-118.83633225525,34.0943985066939,3221,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp Vernon Kilpatrick,427 S. Encinal Canyon Rd.,,Malibu,CA,"Monday through Friday, 8:00am to 5:00pm.",(818) 889-1353 (Primary),,,,,3348,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,90265,http://egis3.lacounty.gov/lms/?p=3348,publish,34.09439854,-118.8363322,2010/11/01 19:50:56+00,,6308465.71070464,1857787.20005639
-118.479357256507,34.6543349359928,3222,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Camp William Mendenhall,42230 Lake Hughes Rd.,,Lake Hughes,CA,"Monday through Friday, 8:00am to 5:00pm.",(661) 724-1213 (Primary),,,,,3349,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93532,http://egis3.lacounty.gov/lms/?p=3349,publish,34.65433497,-118.4793572,2010/11/01 19:50:56+00,,6417512.68257089,2060850.18533382
-118.223469317448,34.7015242557555,3223,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County Probation,Challenger Memorial Youth Center,5300 West Avenue I,,Lancaster,CA,"Monday through Friday, 8:00am to 7:00pm; and Saturday, 9:00am to 5:00pm.","(661) 940-4000 (Primary)
(661) 940-4111 (East)
(661) 940-4011 (West)",,,,,3350,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,93536,http://egis3.lacounty.gov/lms/?p=3350,publish,34.70152429,-118.22346926,2011/01/07 16:47:07+00,,6494504.13324647,2077754.72829631
-118.169741656815,34.0117399665868,3224,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Dorothy Kirby Center,1500 S. Mcdonnell Ave.,,Commerce,CA,"Monday through Sunday, 24 hours per day.",(323) 981-4301 (Primary),,,,,3351,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,90040,http://egis3.lacounty.gov/lms/?p=3351,publish,34.01174,-118.1697416,2010/11/01 19:50:56+00,,6510228.67036688,1826696.21565056
-118.207044156141,34.0622067169883,3225,Current Services Locator,,Public Safety,Probation Camps and Juvenile Halls,,LA County,Intake And Detention Control/Intercept,1601 Eastlake Ave.,,Los Angeles,CA,"Monday through Thursday, 8:30am to 4:00pm.",(323) 226-8511 (Primary),,,,,3352,Provides Secure Detention For Delinquent Minors In Juvenile Halls And Rehabilitation Programs In Camps.,90033,http://egis3.lacounty.gov/lms/?p=3352,publish,34.06220675,-118.2070441,2010/11/01 19:50:56+00,,6498961.6689508,1845083.21070065
-118.283588055804,34.060583966714,54296,211,,Public Safety,Probation Camps and Juvenile Halls,,www.theatreofhearts.org,Theatre Of Hearts / Youth First Artist In Residence Program,672 S. La Fayette Park Pl.,,Los Angeles,CA,,"FAX (213) 351-9883,  Service/Intake and Administration (213) 384-6878",,www.theatreofhearts.org,,,56803,The agency provides a juvenile diversion program in the arts for youth and volunteer opportunities for professional artists in Los Angeles County.,90057,http://egis3.lacounty.gov/lms/?p=56803,publish,34.060584,-118.283588,2013/06/01 11:50:56+00,,6475776.7566593,1844549.24162422
-118.254013056296,34.0673139668186,56484,211,,Public Safety,Probation Camps and Juvenile Halls,,NULL,Central City Action Committee,534 E. Edgeware Rd.,,Los Angeles,CA,"Monday through Friday, 11:00am to 5:00pm. ",Service/Intake and Administration (213) 241-0908,,,,,58404,"The agency provides youth services for low-income families who live, primarily, in the Echo Park, Westlake, and Temple-Beaudry areas of the City of Los Angeles.",90026,http://egis3.lacounty.gov/lms/?p=58404,publish,34.067314,-118.254013,2013/06/01 11:50:56+00,,6484740.64719605,1846974.45626198
-117.863711956695,34.072777597102,62192,211,,Public Safety,Probation Camps and Juvenile Halls,,,Rickman Recovery Center,1274 Center Court Dr,Suite 112,Covina,CA,"Monday through Friday, 9:00am to 8:00pm; Saturday, 9:00am to 2:00pm. ","FAX (626) 915-6503, 24 Hour Response Service/Intake and Administration (626) 962-3203",,www.rickmanrecoverycenters.com,,,70003,The agency provides substance abuse services for adolescents and adults in the San Gabriel Valley area.,91724,http://egis3.lacounty.gov/lms/?p=70003,publish,34.07277763,-117.8637119,2010/11/01 11:50:56+00,,6602943.5042938,1848893.55937915
-118.239848556232,34.0588755772208,62227,211,,Public Safety,Probation Camps and Juvenile Halls,,,Chinatown Teen Post,600 N Broadway,Suite D,Los Angeles,CA,"Monday through Friday, 9:00am to 6:00pm. ","Service/Intake (213) 680-0861,  Service/Intake (213) 680-0876,  FAX (213) 680-0863",,,,,70016,"The agency provides adult education, legal services, and youth services for people of all ages in Los Angeles.",90012,http://egis3.lacounty.gov/lms/?p=70016,publish,34.05887561,-118.2398485,2014/06/09 16:47:13+00,,6489023.13305363,1843893.03427523
-118.131527756828,33.9161997472362,62728,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Probation Department - Juvenile Institutions - Detention Services Bureau,9150 Imperial Hwy,,Downey,CA,"Monday through Friday, 8:00am to 5:00pm. ",Detention Headquarters Service/Intake and Administration (562) 940-2470,,probation.lacounty.gov/about/dsb.asp,,,70359,"This bureau administers correctional programs for detained juveniles in Los Angeles County awaiting court proceedings, movement to camps, and placements.",90242,http://egis3.lacounty.gov/lms/?p=70359,publish,33.91619978,-118.1315277,2010/11/01 11:50:56+00,,6521764.22144271,1791909.75438373
-118.523222855736,34.2458719467982,62898,211,,Public Safety,Probation Camps and Juvenile Halls,,,Child And Family Guidance Center,9650 Zelzah Ave,,Northridge,CA,"Monday through Thursday, 8:30am to 8:00pm; Friday, 8:30am to 5:00pm. ","FAX (818) 993-8206,  Service/Intake and Administration (818) 993-9311",,www.childguidance.org,,,70452,"The agency provides child abuse services, education services, school readiness for children age 0 to 5, welfare-to-work support services and youth services for children, youth and families in the Antelope, San Fernando and Santa Clarita Valleys.",91325,http://egis3.lacounty.gov/lms/?p=70452,publish,34.24587198,-118.5232228,2015/03/11 11:24:40+00,,6403547.29153848,1912269.3194384
-118.413959555858,34.1944341062741,63351,211,,Public Safety,Probation Camps and Juvenile Halls,,,Valley Community Clinic,6801 Coldwater Canyon Ave,Suite 1B,North Hollywood,CA,"Monday and Wednesday, 8:00am to 8:00pm; Tuesday, Thursday, and Friday, 8:00am to 7:00pm; and Saturday, 8:00am to 3:00pm. ","Administrative (818) 763-1718, Mental Health Counseling Service/Intake (818) 763-2084, General Services/Appointment Line Service/Intake (818) 763-8836 Ext.334, Teen Clinic and Warmline Service/Intake (888) 763-4070, [General Services/Appointment Line] Ser",,www.valleycommunityclinic.org,,,70636,"The agency provides drug abuse services, family planning services, health services, HIV/AIDS services, and mental health services primarily for people of all ages who live in the San Fernando Valley.",91605,http://egis3.lacounty.gov/lms/?p=70636,publish,34.19443414,-118.4139595,2010/11/01 11:50:56+00,,6436490.42512713,1893396.38441531
-118.307542656323,33.945625177454,64647,211,,Public Safety,Probation Camps and Juvenile Halls,,,Treatment Solutions Inc,1719 W Century Blvd,,Los Angeles,CA,"Monday through Saturday, 9:00am to 6:00pm. ",Service/Intake (310) 593-1766,,,,,71292,"The agency provides substance abuse services for adolescents, age 12 years to 18 years, and young adults, age 18 to 20, in South Los Angeles, including the City of Inglewood.",90047,http://egis3.lacounty.gov/lms/?p=71292,publish,33.94562521,-118.3075426,2010/11/01 11:50:56+00,,6468393.37280406,1802734.91121106
-118.135657456583,34.2050429666645,64728,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - Altadena Vida Site,3544 Canon Blvd,Loma Alta Elementary School,Altadena,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (626) 797-1173,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71390,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,91001,http://egis3.lacounty.gov/lms/?p=71390,publish,34.205043,-118.1356574,2010/11/01 11:50:56+00,,6520653.11080405,1897027.05792823
-118.247875256512,33.9672392072463,64730,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - Century Vida Office,7901 Compton Ave,Firestone Youth Activities League Center,Los Angeles,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (323) 793-0331,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71391,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,90001,http://egis3.lacounty.gov/lms/?p=71391,publish,33.96723924,-118.2478752,2010/11/01 11:50:56+00,,6486509.71255556,1810550.70266606
-118.348829256227,34.0696232968341,64733,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - East Los Angeles Vida Site,5901 W 3Rd St,East Los Angeles Sheriff's Station,Los Angeles,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (323) 264-4151 Ext.4540,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71393,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,90022,http://egis3.lacounty.gov/lms/?p=71393,publish,34.06962333,-118.3488292,2010/11/01 11:50:56+00,,6456027.88867681,1847900.96950081
-118.133182456843,33.8514814475129,64736,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - Lakewood Vida Office,5130 Clark Ave,Lakewood Sheriff's Station,Lakewood,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (562) 623-3500,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71395,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,90712,http://egis3.lacounty.gov/lms/?p=71395,publish,33.85148148,-118.1331824,2010/11/01 11:50:56+00,,6521230.9728373,1768357.89531957
-118.292016056208,33.9247845469693,64739,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - Lennox Vida Site And Office,11911 S Vermont Ave,Lennox Youth Activities League Center,Los Angeles,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (323) 242-8784,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71397,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,90044,http://egis3.lacounty.gov/lms/?p=71397,publish,33.92478458,-118.292016,2010/11/01 11:50:56+00,,6473080.50778672,1795136.52975431
-118.06254855766,34.558683555855,64741,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - Palmdale Vida Site And Office,37230 37Th St E,Oaktree School,Palmdale,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (661) 510-0881,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71398,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,93550,http://egis3.lacounty.gov/lms/?p=71398,publish,34.55868359,-118.0625485,2010/11/01 11:50:56+00,,6542838.30626297,2025702.21396323
-118.149673857766,34.6885039559131,64743,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - Lancaster Vida Site And Office,1040 W Ave J,,Lancaster,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (661) 949-6585,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71399,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,93535,http://egis3.lacounty.gov/lms/?p=71399,publish,34.68850399,-118.1496738,2010/11/01 11:50:56+00,,6516677.10727313,2072975.0744698
-118.51261145623,34.4114541258863,64745,211,,Public Safety,Probation Camps and Juvenile Halls,,,Los Angeles County Sheriff - Vital Intervention Directional Alternative - Santa Clarita Vida Site And Office,21445 Centre Pointe Pkwy,,Santa Clarita,CA,"Wednesday through Saturday, 8:00am to 6:00pm ",Service/Intake (661) 510-0881,,www.lasdhq.org/sites/Youth/mission_statement.htm,,,71400,The Department sponsors Youth Services for at risk youth in the unincorporated areas of Los Angeles county.,91351,http://egis3.lacounty.gov/lms/?p=71400,publish,34.41145416,-118.5126114,2010/11/01 11:50:56+00,,6407061.43116371,1972510.50637048
-118.226571056735,33.9234496174374,65361,211,,Public Safety,Probation Camps and Juvenile Halls,,,Project Impact ,2640 Industry Way,"Suite G,  H",Lynwood,CA,"Monday, Wednesday, 9:00am to 7:00pm; Tuesday, Thursday, 9:00am to 8:00pm; Friday, 9:00am to 4:00pm ","Service/Intake (310) 631-9763,  FAX (310) 631-6680",,,,,71695,"The agency provides juvenile diversion programs and support programs for at risk families in South Los Angeles (SPA 6). Some services provided include Mentors, Tutors and Life Skills.

&nbsp;

&nbsp;",90262,http://egis3.lacounty.gov/lms/?p=71695,publish,33.92344965,-118.226571,2013/08/13 10:08:50+00,,6492933.63212238,1794599.50490972
